"soi.date.orig","SOI","yr","mo.no.char","mo.no","mo.char"
197605,0.4,1976,"05",5,"May"
197606,0.3,1976,"06",6,"Jun"
197607,-0.9,1976,"07",7,"Jul"
197608,-0.8,1976,"08",8,"Aug"
197609,-1.1,1976,"09",9,"Sep"
197610,0.4,1976,"10",10,"Oct"
197611,0.7,1976,"11",11,"Nov"
197612,-0.3,1976,"12",12,"Dec"
197701,-0.4,1977,"01",1,"Jan"
197702,1.2,1977,"02",2,"Feb"
197703,-0.5,1977,"03",3,"Mar"
197704,-0.4,1977,"04",4,"Apr"
197705,-0.5,1977,"05",5,"May"
197706,-0.9,1977,"06",6,"Jun"
197707,-1.1,1977,"07",7,"Jul"
197708,-0.8,1977,"08",8,"Aug"
197709,-0.8,1977,"09",9,"Sep"
197710,-1,1977,"10",10,"Oct"
197711,-1.3,1977,"11",11,"Nov"
197712,-1.1,1977,"12",12,"Dec"
197801,-0.3,1978,"01",1,"Jan"
197802,-2.7,1978,"02",2,"Feb"
197803,-0.2,1978,"03",3,"Mar"
197804,-0.3,1978,"04",4,"Apr"
197805,1.4,1978,"05",5,"May"
197806,0.7,1978,"06",6,"Jun"
197807,0.6,1978,"07",7,"Jul"
197808,0.4,1978,"08",8,"Aug"
197809,0.1,1978,"09",9,"Sep"
197810,-0.4,1978,"10",10,"Oct"
197811,0,1978,"11",11,"Nov"
197812,-0.1,1978,"12",12,"Dec"
197901,-0.4,1979,"01",1,"Jan"
197902,1,1979,"02",2,"Feb"
197903,0.1,1979,"03",3,"Mar"
197904,-0.1,1979,"04",4,"Apr"
197905,0.5,1979,"05",5,"May"
197906,0.6,1979,"06",6,"Jun"
197907,1.3,1979,"07",7,"Jul"
197908,-0.2,1979,"08",8,"Aug"
197909,0.1,1979,"09",9,"Sep"
197910,-0.1,1979,"10",10,"Oct"
197911,-0.4,1979,"11",11,"Nov"
197912,-0.7,1979,"12",12,"Dec"
198001,0.4,1980,"01",1,"Jan"
198002,0.3,1980,"02",2,"Feb"
198003,-0.4,1980,"03",3,"Mar"
198004,-0.6,1980,"04",4,"Apr"
198005,0,1980,"05",5,"May"
198006,0,1980,"06",6,"Jun"
198007,0,1980,"07",7,"Jul"
198008,0.4,1980,"08",8,"Aug"
198009,-0.5,1980,"09",9,"Sep"
198010,0,1980,"10",10,"Oct"
198011,-0.3,1980,"11",11,"Nov"
198012,-0.1,1980,"12",12,"Dec"
198101,0.4,1981,"01",1,"Jan"
198102,-0.2,1981,"02",2,"Feb"
198103,-1.3,1981,"03",3,"Mar"
198104,-0.1,1981,"04",4,"Apr"
198105,0.8,1981,"05",5,"May"
198106,1.2,1981,"06",6,"Jun"
198107,0.8,1981,"07",7,"Jul"
198108,0.7,1981,"08",8,"Aug"
198109,0.3,1981,"09",9,"Sep"
198110,-0.4,1981,"10",10,"Oct"
198111,0.2,1981,"11",11,"Nov"
198112,0.5,1981,"12",12,"Dec"
198201,1.2,1982,"01",1,"Jan"
198202,0.3,1982,"02",2,"Feb"
198203,0.6,1982,"03",3,"Mar"
198204,0.1,1982,"04",4,"Apr"
198205,-0.3,1982,"05",5,"May"
198206,-1,1982,"06",6,"Jun"
198207,-1.5,1982,"07",7,"Jul"
198208,-1.7,1982,"08",8,"Aug"
198209,-1.7,1982,"09",9,"Sep"
198210,-1.7,1982,"10",10,"Oct"
198211,-2.6,1982,"11",11,"Nov"
198212,-2.2,1982,"12",12,"Dec"
198301,-3.5,1983,"01",1,"Jan"
198302,-3.6,1983,"02",2,"Feb"
198303,-2.4,1983,"03",3,"Mar"
198304,-0.9,1983,"04",4,"Apr"
198305,0.6,1983,"05",5,"May"
198306,0,1983,"06",6,"Jun"
198307,-0.6,1983,"07",7,"Jul"
198308,0.1,1983,"08",8,"Aug"
198309,0.9,1983,"09",9,"Sep"
198310,0.4,1983,"10",10,"Oct"
198311,-0.1,1983,"11",11,"Nov"
198312,0,1983,"12",12,"Dec"
198401,0.2,1984,"01",1,"Jan"
198402,0.9,1984,"02",2,"Feb"
198403,-0.2,1984,"03",3,"Mar"
