"","yr","variable","MEI"
"453",2000,"jun.jul",-0.184
"454",2001,"jun.jul",0.27
"455",2002,"jun.jul",0.685
"456",2003,"jun.jul",0.144
"457",2004,"jun.jul",0.541
"458",2005,"jun.jul",0.49
"459",2006,"jun.jul",0.691
"460",2007,"jun.jul",-0.288
"461",2008,"jun.jul",0.054
"462",2009,"jun.jul",1.035
"463",2010,"jun.jul",-1.156
"464",2011,"jun.jul",-0.228
"465",2012,"jun.jul",1.098
"466",2013,"jun.jul",-0.355
"467",2014,"jun.jul",0.882
"468",2015,"jun.jul",1.948
"469",2016,"jun.jul",0.312
"470",1950,"jul.aug",-1.053
"471",1951,"jul.aug",0.829
"472",1952,"jul.aug",-0.378
"473",1953,"jul.aug",0.213
"474",1954,"jul.aug",-1.471
"475",1955,"jul.aug",-2.073
"476",1956,"jul.aug",-1.131
"477",1957,"jul.aug",1.148
"478",1958,"jul.aug",0.427
"479",1959,"jul.aug",0.114
"480",1960,"jul.aug",-0.251
"481",1961,"jul.aug",-0.304
"482",1962,"jul.aug",-0.543
"483",1963,"jul.aug",0.597
"484",1964,"jul.aug",-1.503
"485",1965,"jul.aug",1.443
"486",1966,"jul.aug",0.155
"487",1967,"jul.aug",-0.395
"488",1968,"jul.aug",-0.102
"489",1969,"jul.aug",0.218
"490",1970,"jul.aug",-1.016
"491",1971,"jul.aug",-1.225
"492",1972,"jul.aug",1.821
"493",1973,"jul.aug",-1.347
"494",1974,"jul.aug",-0.671
"495",1975,"jul.aug",-1.73
"496",1976,"jul.aug",0.664
"497",1977,"jul.aug",0.695
"498",1978,"jul.aug",-0.2
"499",1979,"jul.aug",0.625
"500",1980,"jul.aug",0.336
"501",1981,"jul.aug",-0.088
"502",1982,"jul.aug",1.799
"503",1983,"jul.aug",1.178
"504",1984,"jul.aug",-0.154
"505",1985,"jul.aug",-0.367
"506",1986,"jul.aug",0.775
"507",1987,"jul.aug",1.999
"508",1988,"jul.aug",-1.303
"509",1989,"jul.aug",-0.497
"510",1990,"jul.aug",0.131
"511",1991,"jul.aug",1.024
"512",1992,"jul.aug",0.57
"513",1993,"jul.aug",1.042
"514",1994,"jul.aug",0.773
"515",1995,"jul.aug",-0.143
"516",1996,"jul.aug",-0.374
"517",1997,"jul.aug",3.04
"518",1998,"jul.aug",-0.331
"519",1999,"jul.aug",-0.745
"520",2000,"jul.aug",-0.145
"521",2001,"jul.aug",0.338
"522",2002,"jul.aug",1.017
"523",2003,"jul.aug",0.316
"524",2004,"jul.aug",0.627
"525",2005,"jul.aug",0.352
"526",2006,"jul.aug",0.759
"527",2007,"jul.aug",-0.441
"528",2008,"jul.aug",-0.266
"529",2009,"jul.aug",1.067
"530",2010,"jul.aug",-1.683
"531",2011,"jul.aug",-0.519
"532",2012,"jul.aug",0.619
"533",2013,"jul.aug",-0.48
"534",2014,"jul.aug",0.954
"535",2015,"jul.aug",2.366
"536",2016,"jul.aug",0.175
"537",1950,"aug.sep",-0.634
"538",1951,"aug.sep",0.743
"539",1952,"aug.sep",0.313
"540",1953,"aug.sep",0.501
"541",1954,"aug.sep",-1.166
"542",1955,"aug.sep",-1.823
"543",1956,"aug.sep",-1.359
"544",1957,"aug.sep",1.125
"545",1958,"aug.sep",0.188
"546",1959,"aug.sep",0.105
"547",1960,"aug.sep",-0.465
"548",1961,"aug.sep",-0.301
"549",1962,"aug.sep",-0.551
"550",1963,"aug.sep",0.75
"551",1964,"aug.sep",-1.311
"552",1965,"aug.sep",1.406
"553",1966,"aug.sep",-0.085
"554",1967,"aug.sep",-0.621
"555",1968,"aug.sep",0.22
"556",1969,"aug.sep",0.177
"557",1970,"aug.sep",-1.252
"558",1971,"aug.sep",-1.46
"559",1972,"aug.sep",1.558
"560",1973,"aug.sep",-1.727
"561",1974,"aug.sep",-0.627
"562",1975,"aug.sep",-1.874
"563",1976,"aug.sep",1.038
"564",1977,"aug.sep",0.8
"565",1978,"aug.sep",-0.389
"566",1979,"aug.sep",0.786
"567",1980,"aug.sep",0.281
"568",1981,"aug.sep",0.187
"569",1982,"aug.sep",1.811
"570",1983,"aug.sep",0.497
"571",1984,"aug.sep",-0.106
"572",1985,"aug.sep",-0.526
"573",1986,"aug.sep",1.088
"574",1987,"aug.sep",1.894
"575",1988,"aug.sep",-1.506
"576",1989,"aug.sep",-0.311
