"yr","mo.char","NAO"
2000,"Apr",-3.34
2001,"Apr",1.24
2002,"Apr",0.91
2003,"Apr",-1.74
2004,"Apr",1.08
2005,"Apr",0.71
2006,"Apr",0.57
2007,"Apr",-0.1
2008,"Apr",-2.02
2009,"Apr",1.74
2010,"Apr",-1.03
2011,"Apr",2.39
2012,"Apr",-2.36
2013,"Apr",0.03
2014,"Apr",0.84
2015,"Apr",1.03
2016,"Apr",-2.06
2017,"Apr",1.5
1821,"May",NA
1822,"May",0.59
1823,"May",4.65
1824,"May",1.34
1825,"May",0.13
1826,"May",-1.2
1827,"May",1.2
1828,"May",-1.59
1829,"May",1.8
1830,"May",-0.05
1831,"May",-2.47
1832,"May",-1.96
1833,"May",0.69
1834,"May",-1.03
1835,"May",0.58
1836,"May",-1.5
1837,"May",-1.02
1838,"May",-2.16
1839,"May",-0.94
1840,"May",-0.58
1841,"May",1.65
1842,"May",-0.85
1843,"May",-0.49
1844,"May",-2.77
1845,"May",-0.97
1846,"May",0.19
1847,"May",1.76
1848,"May",0.69
1849,"May",-0.52
1850,"May",-1.16
1851,"May",-1.53
1852,"May",0.25
1853,"May",-3.17
1854,"May",0.04
1855,"May",-2.28
1856,"May",-0.7
1857,"May",-0.17
1858,"May",0.53
1859,"May",-0.63
1860,"May",-1.51
1861,"May",-1.99
1862,"May",0.65
1863,"May",-1.49
1864,"May",-1.83
1865,"May",0.87
1866,"May",-1.54
1867,"May",-2.35
1868,"May",1.35
1869,"May",-1.98
1870,"May",1.55
1871,"May",-2.5
1872,"May",0.02
1873,"May",-0.93
1874,"May",-1.85
1875,"May",0.89
1876,"May",-1.45
1877,"May",-1.73
1878,"May",0.28
1879,"May",0.63
1880,"May",-1.78
1881,"May",0.82
1882,"May",-0.68
1883,"May",-0.54
1884,"May",-0.17
1885,"May",0.32
1886,"May",-0.67
1887,"May",0.44
1888,"May",0.97
1889,"May",-0.39
1890,"May",-1.14
1891,"May",-1.78
1892,"May",-0.57
1893,"May",0.37
1894,"May",-1.38
1895,"May",0.51
1896,"May",-0.89
1897,"May",-0.52
1898,"May",-0.53
1899,"May",-1.03
1900,"May",-0.57
1901,"May",-0.71
1902,"May",0.54
1903,"May",0.14
1904,"May",1.75
1905,"May",-0.72
1906,"May",-1.75
1907,"May",-1.42
1908,"May",1.92
1909,"May",-0.92
1910,"May",-1.5
1911,"May",0.79
1912,"May",1.7
1913,"May",0.38
1914,"May",2.19
1915,"May",-2.47
1916,"May",-0.72
1917,"May",-1.59
1918,"May",0.23
1919,"May",1.35
1920,"May",0.76
1921,"May",-0.64
1922,"May",2.36
1923,"May",0.35
1924,"May",-0.55
1925,"May",1.12
